2004	1	填空	导数的几何意义与切线方程	垂直直线的斜率关系
2004	2	填空	变量代换求原函数	不定积分分部积分
2004	3	填空	平面曲线积分的参数化直接计算
2004	4	填空	欧拉方程求解
2004	5	填空	伴随矩阵性质 AA*=|A|E	矩阵方程求行列式
2004	6	填空	指数分布的数字特征	指数分布的概率计算
2004	7	选择	无穷小阶的比较	变限积分求导
2004	8	选择	导数定义的局部保号性
2004	9	选择	正项级数敛散性的比较判别法
2004	10	选择	二重积分交换积分次序	变限积分求导
2004	11	选择	初等矩阵与初等变换
2004	12	选择	AB=O 的秩关系与线性相关性
2004	13	选择	标准正态分布的上侧分位点
2004	14	选择	样本均值的方差与协方差运算
2004	15	解答	拉格朗日中值定理证明不等式	单调性证明不等式
2004	16	解答	可分离变量微分方程的物理应用	变力作用下的运动方程建模
2004	17	解答	高斯公式补面法
2004	18	解答	零点存在唯一性证明	正项级数敛散性的比较判别法
2004	19	解答	隐函数求偏导	多元函数无条件极值
2004	20	解答	含参齐次线性方程组有非零解的条件	齐次方程组基础解系与通解
2004	21	解答	特征方程重根情形	矩阵可相似对角化的判定
2004	22	解答	条件概率与乘法公式	二维离散型随机变量的联合分布	相关系数计算
2004	23	解答	矩估计量	最大似然估计量
2005	1	填空	斜渐近线求法
2005	2	填空	一阶线性微分方程通解公式
2005	3	填空	方向导数计算
2005	4	填空	高斯公式
2005	5	填空	行列式的性质与矩阵分解	行列式乘法定理
2005	6	填空	全概率公式
2005	7	选择	含参极限定义的分段函数	分段函数分段点可导性
2005	8	选择	原函数与被积函数的奇偶性关系	变限积分的性质
2005	9	选择	多元复合函数的二阶偏导数
2005	10	选择	隐函数存在定理的条件判定
2005	11	选择	不同特征值的特征向量线性无关	向量组线性无关的判定
2005	12	选择	伴随矩阵与初等变换
2005	13	选择	事件的独立性	二维离散型随机变量的联合分布
2005	14	选择	正态总体的抽样分布
2005	15	解答	二重积分的分区域计算	极坐标计算二重积分
2005	16	解答	幂级数的收敛区间	逐项积分求和函数
2005	17	解答	分部积分法	导数的几何意义与切线方程
2005	18	解答	零点定理构造辅助函数	拉格朗日中值定理分区间使用
2005	19	解答	曲线积分与路径无关的条件	格林公式化曲线积分为二重积分
2005	20	解答	二次型的秩	正交变换化二次型为标准形	实对称矩阵正交相似对角化
2005	21	解答	AB=O 的秩关系与线性相关性	齐次方程组基础解系与通解
2005	22	解答	二维连续型随机变量的边缘概率密度	随机变量函数的分布
2005	23	解答	样本均值的方差与协方差运算
2006	1	填空	等价无穷小替换求极限
2006	2	填空	可分离变量微分方程
2006	3	填空	高斯公式补面法
2006	4	填空	点到平面的距离公式
2006	5	填空	矩阵方程变形求行列式	行列式乘法定理
2006	6	填空	独立随机变量最大值的分布	均匀分布
2006	7	选择	微分与增量的大小比较	函数凹凸性
2006	8	选择	极坐标与直角坐标下二重积分的互化
2006	9	选择	级数收敛的必要条件与线性性质
2006	10	选择	拉格朗日乘数法的必要条件
2006	11	选择	线性变换下向量组线性相关性的保持
2006	12	选择	初等矩阵与初等变换
2006	13	选择	条件概率等于1时的事件包含关系
2006	14	选择	正态分布的对称性与标准化
2006	15	解答	二重积分的奇偶对称性	极坐标计算二重积分
2006	16	解答	单调有界准则求数列极限	1的无穷次幂型极限
2006	17	解答	函数展开成幂级数	部分分式分解
2006	18	解答	多元复合函数的二阶偏导数	可降阶的二阶微分方程
2006	19	解答	齐次函数的欧拉定理	格林公式化曲线积分为二重积分
2006	20	解答	非齐次线性方程组解的结构	线性方程组解的个数与秩的关系
2006	21	解答	实对称矩阵的特征值与特征向量	实对称矩阵正交相似对角化
2006	22	解答	随机变量函数的分布	二维分布函数的定义计算
2006	23	解答	最大似然估计量
2007	1	选择	等价无穷小的判定	泰勒公式展开
2007	2	选择	曲线渐近线的条数	斜渐近线求法
2007	3	选择	定积分的几何意义	变限积分的性质
2007	4	选择	函数极限存在与连续可导的关系	导数定义
2007	5	选择	凹凸性与数列的收敛发散
2007	6	选择	第二类曲线积分的符号判定	曲线积分与路径无关的条件
2007	7	选择	向量组线性相关性的判定	组合向量组的行列式判别
2007	8	选择	矩阵合同与相似的判定	实对称矩阵的正负惯性指数
2007	9	选择	独立重复试验的概率计算
2007	10	选择	二维正态分布不相关与独立等价	条件概率密度
2007	11	填空	凑微分法求定积分
2007	12	填空	多元复合函数求偏导	幂指函数求导
2007	13	填空	二阶常系数非齐次线性微分方程	特解形式的待定系数法
2007	14	填空	第一类曲面积分的对称性
2007	15	填空	幂零矩阵的秩
2007	16	填空	几何概型
2007	17	解答	多元函数在有界闭区域上的最值	边界上的条件极值
2007	18	解答	高斯公式补面法
2007	19	解答	罗尔定理的重复使用	辅助函数的构造
2007	20	解答	幂级数解微分方程与系数递推	逐项求导求和函数
2007	21	解答	齐次与非齐次方程组的公共解	含参线性方程组的讨论
2007	22	解答	矩阵多项式的特征值	实对称矩阵正交相似对角化
2007	23	解答	二维连续型随机变量的概率计算	随机变量和的分布
2007	24	解答	矩估计量	无偏估计的判定
2008	1	选择	变限积分求导	零点个数的判定
2008	2	选择	梯度的计算
2008	3	选择	由通解反推常系数线性微分方程	特征方程与特征根
2008	4	选择	单调有界函数与数列极限	单调有界准则
2008	5	选择	幂零矩阵	矩阵可逆的判定
2008	6	选择	二次曲面的标准方程与正负惯性指数	正交变换化二次型为标准形
2008	7	选择	独立随机变量最大值的分布
2008	8	选择	相关系数为正负1时的线性关系	正态分布的线性变换
2008	9	填空	一阶线性微分方程通解公式	可分离变量微分方程
2008	10	填空	隐函数求导	导数的几何意义与切线方程
2008	11	填空	幂级数的收敛半径与收敛域	阿贝尔定理
2008	12	填空	第二类曲面积分化为二重积分	曲面积分的对称性
2008	13	填空	由线性变换关系求特征值
2008	14	填空	泊松分布的数字特征	泊松分布的概率计算
2008	15	解答	泰勒公式求极限	等价无穷小替换求极限
2008	16	解答	格林公式化曲线积分为二重积分	补线法计算曲线积分
2008	17	解答	条件极值与拉格朗日乘数法	空间曲线上的最值
2008	18	解答	变限积分可导性的定义证明	周期函数的积分性质
2008	19	解答	函数展开成余弦级数	傅里叶级数求数项级数和
2008	20	解答	矩阵秩的不等式	向量外积构造矩阵的秩
2008	21	解答	三对角行列式的递推	含参线性方程组的讨论	克拉默法则
2008	22	解答	离散与连续混合的随机变量和的分布	全概率公式
2008	23	解答	无偏估计的判定	正态总体样本均值与样本方差的性质
2009	1	选择	等价无穷小的判定	泰勒公式展开
2009	2	选择	二重积分的奇偶对称性	二重积分的比较
2009	3	选择	变限积分的图形与原函数性质	定积分的几何意义
2009	4	选择	级数敛散性的判定与反例	绝对收敛与条件收敛
2009	5	选择	基变换的过渡矩阵
2009	6	选择	分块矩阵的伴随矩阵	伴随矩阵性质 AA*=|A|E
2009	7	选择	混合型分布函数的期望	正态分布的数字特征
2009	8	选择	随机变量乘积的分布函数	分布函数的连续性与间断点
2009	9	填空	多元复合函数的二阶偏导数
2009	10	填空	由通解反推常系数线性微分方程	二阶常系数非齐次线性微分方程
2009	11	填空	第一类曲线积分的计算
2009	12	填空	球面坐标计算三重积分	三重积分的先二后一法
2009	13	填空	秩为1矩阵的特征值
2009	14	填空	无偏估计的判定	样本均值与样本方差的期望
2009	15	解答	多元函数无条件极值
2009	16	解答	定积分求平面图形面积	数项级数求和与错位相消
2009	17	解答	旋转曲面的方程	定积分求旋转体体积
